,# mesurment,ex_wl,spectro_center_wl,grating,spf,lpf,lpf2,av_power,std_power,num_power,time_taken,ex_time,em_wl,counts
65,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,138.21564,3089.0
66,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,138.21564,3100.0
67,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,138.21564,3096.0
68,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,138.21564,3089.0
69,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,138.21564,3117.0
70,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,138.74112,3085.0
71,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,138.74112,3107.0
72,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,138.74112,3101.0
73,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,138.74112,3099.0
74,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,138.74112,3122.0
75,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,139.2666,3094.0
76,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,139.2666,3079.0
77,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,139.2666,3099.0
78,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,139.2666,3130.0
79,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,139.2666,3106.0
80,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,139.79208,3100.0
81,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,139.79208,3109.0
82,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,139.79208,3106.0
83,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,139.79208,3092.0
84,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,139.79208,3108.0
85,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,140.31757,3089.0
86,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,140.31757,3118.0
87,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,140.31757,3109.0
88,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,140.31757,3132.0
89,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,140.31757,3087.0
90,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,140.84305,3127.0
91,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,140.84305,3103.0
92,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,140.84305,3103.0
93,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,140.84305,3135.0
94,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,140.84305,3082.0
95,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,141.36853,3101.0
96,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,141.36853,3105.0
97,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,141.36853,3098.0
98,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,141.36853,3091.0
99,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,141.36853,3093.0
100,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,141.894,3089.0
101,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,141.894,3096.0
102,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,141.894,3080.0
103,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,141.894,3105.0
104,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,141.894,3092.0
105,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,142.41948,3089.0
106,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,142.41948,3081.0
107,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,142.41948,3113.0
108,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,142.41948,3090.0
109,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,142.41948,3096.0
110,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,142.94495,3092.0
111,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,142.94495,3109.0
112,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,142.94495,3093.0
113,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,142.94495,3098.0
114,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,142.94495,3107.0
115,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,143.47043,3089.0
116,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,143.47043,3097.0
117,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,143.47043,3111.0
118,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,143.47043,3101.0
119,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,143.47043,3072.0
120,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,143.9959,3113.0
121,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,143.9959,3093.0
122,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,143.9959,3097.0
123,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,143.9959,3103.0
124,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,143.9959,3093.0
125,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,144.52136,3111.0
126,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,144.52136,3107.0
127,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,144.52136,3094.0
128,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,144.52136,3102.0
129,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,144.52136,3105.0
130,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,145.04683,3105.0
131,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,145.04683,3097.0
132,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,145.04683,3100.0
133,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,145.04683,3106.0
134,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,145.04683,3095.0
135,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,145.5723,3103.0
136,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,145.5723,3078.0
137,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,145.5723,3110.0
138,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,145.5723,3084.0
139,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,145.5723,3095.0
